Context,Request,Network Function,Profile Network Function,SUPI,UUID,PDU Session ID,Metric,Expected Function,Expected Inputs
I need to allocate a dedicated network data profile for a specific use case,Assign data profile 60c86889-c348-4ebe-8fdc-26b6d9551845 to user imsi-0010100000213,udr,None,imsi-0010100000213,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
I'm looking to assign a network data profile to an authorized user,Allocate data profile a47a045a-6b39-4172-bbeb-47ec64a60b38 to user imsi-0010100000213,udr,None,imsi-0010100000213,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""a47a045a-6b39-4172-bbeb-47ec64a60b38""}"
It's important to configure a network data profile for an enterprise application,Set first data profile for user imsi-0010100000213,udr,None,imsi-0010100000213,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
Can you provide a dedicated data profile for an IoT device?,Allocate second data profile to user imsi-0010100000213,udr,None,imsi-0010100000213,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""a47a045a-6b39-4172-bbeb-47ec64a60b38""}"
I want to assign a specific data profile for emergency services,Assign data profile plmn_99999_slice_1-000001 to user imsi-0010100000213,udr,None,imsi-0010100000213,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
Allocate a dedicated network data profile for an authorized enterprise user,Set data profile plmn_00101_slice_1 for user imsi-0010100000213,udr,None,imsi-0010100000213,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""a47a045a-6b39-4172-bbeb-47ec64a60b38""}"
Configure a network data profile for a permitted IoT device,Assign data profile 60c86889-c348-4ebe-8fdc-26b6d9551845 to the second user,udr,None,imsi-0010100000213,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
Assign a dedicated network data profile for mission-critical services,Allocate data profile a47a045a-6b39-4172-bbeb-47ec64a60b38 to the second user,udr,None,imsi-0010100000213,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""a47a045a-6b39-4172-bbeb-47ec64a60b38""}"
Ensure an authorized device gets the correct network data profile,Set first data profile for the second user,udr,None,imsi-0010100000213,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
Ensure an authorized device gets the correct network data profile,Set data profile with description plmn_00101_slice_1 for the second user,udr,None,imsi-0010100000213,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,patch_provisioned_data_profile,"{""nf"": ""udr"", ""supi"": ""imsi-0010100000213"", ""uuid"": ""a47a045a-6b39-4172-bbeb-47ec64a60b38""}"
Get all authorized data profiles within the HPE 5G Core.,Can you retrieve the authorized data profiles in the HPE 5G Core?,udr,None,None,None,None,None,get_dataprofiles,"{""nf"": ""udr""}"
Access the authorized data profiles available in the HPE 5G Core.,Please provide the authorized data profiles within the HPE 5G Core.,udr,None,None,None,None,None,get_dataprofiles,"{""nf"": ""udr""}"
Retrieve the complete set of authorized data profiles from the HPE 5G Core.,How do I access the authorized data profiles in the HPE 5G Core?,udr,None,None,None,None,None,get_dataprofiles,"{""nf"": ""udr""}"
Get details about all authorized data profiles within the HPE 5G Core.,Could you show the authorized data profiles within the HPE 5G Core?,udr,None,None,None,None,None,get_dataprofiles,"{""nf"": ""udr""}"
Access the full range of authorized data profiles within the HPE 5G Core.,Can you provide a detailed overview of the authorized data profiles in the HPE 5G Core?,udr,None,None,None,None,None,get_dataprofiles,"{""nf"": ""udr""}"
